"No.","Delta-time","Time","Source","Destination","Protocol","Length","Info"
"1","","0.000000000","192.168.1.2","142.250.70.110","UDP","999","61782  >  443 Len=957"
"2","0.121959800","0.121959800","142.250.70.110","192.168.1.2","UDP","70","443  >  61782 Len=28"
"3","0.000000000","0.121959800","142.250.70.110","192.168.1.2","UDP","108","443  >  61782 Len=66"
"4","0.000324500","0.122284300","192.168.1.2","142.250.70.110","UDP","77","61782  >  443 Len=35"
"5","0.002942400","0.125226700","142.250.70.110","192.168.1.2","UDP","63","443  >  61782 Len=21"
"6","0.040076400","0.165303100","192.168.1.2","142.250.70.110","UDP","74","61782  >  443 Len=32"
"7","0.023863400","0.189166500","142.250.70.110","192.168.1.2","UDP","66","443  >  61782 Len=24"
"8","0.101512100","0.290678600","192.168.1.2","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"9","3.410292100","3.700970700","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.4? Tell 192.168.1.1"
"10","0.000000000","3.700970700","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.12? Tell 192.168.1.1"
"11","0.000064300","3.701035000","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.2? Tell 192.168.1.1"
"12","0.000021600","3.701056600","LiteonTechno_4d:aa:79","FibRSolGloba_17:27:b4","ARP","42","192.168.1.2 is at 24:b2:b9:4d:aa:79"
"13","0.000436900","3.701493500","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.7? Tell 192.168.1.1"
"14","0.262769000","3.964262500","192.168.1.2","74.125.158.39","TCP","55","52022  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"15","0.352040400","4.316302900","fe80::d221:f9ff:fef7:3274","ff02::1","UDP","218","32951  >  10002 Len=156"
"16","3.246222400","7.562525300","192.168.1.2","142.250.206.170","UDP","71","52063  >  443 Len=29"
"17","0.015093600","7.577618900","192.168.1.2","57.144.243.32","TLSv1.2","124","Application Data"
"18","0.122480100","7.700099000","57.144.243.32","192.168.1.2","TCP","54","443  >  53966 [ACK] Seq=1 Ack=71 Win=483 Len=0"
"19","0.000000000","7.700099000","142.250.206.170","192.168.1.2","UDP","66","443  >  52063 Len=24"
"20","0.096858500","7.796957500","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.4? Tell 192.168.1.1"
"21","0.000000000","7.796957500","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.12? Tell 192.168.1.1"
"22","0.000515000","7.797472500","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.2? Tell 192.168.1.1"
"23","0.000011800","7.797484300","LiteonTechno_4d:aa:79","FibRSolGloba_17:27:b4","ARP","42","192.168.1.2 is at 24:b2:b9:4d:aa:79"
"24","0.000064700","7.797549000","FibRSolGloba_17:27:b4","Broadcast","ARP","64","Who has 192.168.1.7? Tell 192.168.1.1"
"25","0.009125200","7.806674200","57.144.243.32","192.168.1.2","TLSv1.2","126","Application Data"
"26","0.053732300","7.860406500","192.168.1.2","57.144.243.32","TCP","54","53966  >  443 [ACK] Seq=71 Ack=73 Win=252 Len=0"
"27","1.396769800","9.257176300","192.168.1.2","8.8.8.8","DNS","70","Standard query 0x0f32 HTTPS dns.google"
"28","0.000225400","9.257401700","192.168.1.2","8.8.8.8","DNS","70","Standard query 0x252a A dns.google"
"29","0.080713300","9.338115000","8.8.8.8","192.168.1.2","DNS","146","Standard query response 0x0f32 HTTPS dns.google SOA ns1.zdns.google"
"30","0.000000000","9.338115000","8.8.8.8","192.168.1.2","DNS","102","Standard query response 0x252a A dns.google A 8.8.4.4 A 8.8.8.8"
"31","0.001066600","9.339181600","192.168.1.2","8.8.4.4","QUIC","1292","Initial, DCID=b62cfd3432af60c7, PKN: 1, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PING, CRYPTO, PING"
"32","0.000083300","9.339264900","192.168.1.2","8.8.4.4","QUIC","1292","Initial, DCID=b62cfd3432af60c7, PKN: 2, PADDING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO"
"33","0.000135300","9.339400200","192.168.1.2","8.8.4.4","QUIC","122","0-RTT, DCID=b62cfd3432af60c7"
"34","0.000195300","9.339595500","192.168.1.2","8.8.4.4","QUIC","305","0-RTT, DCID=b62cfd3432af60c7"
"35","0.000097400","9.339692900","192.168.1.2","8.8.4.4","QUIC","259","0-RTT, DCID=b62cfd3432af60c7"
"36","0.000090700","9.339783600","192.168.1.2","8.8.4.4","QUIC","259","0-RTT, DCID=b62cfd3432af60c7"
"37","0.000092800","9.339876400","192.168.1.2","8.8.4.4","QUIC","259","0-RTT, DCID=b62cfd3432af60c7"
"38","0.099873800","9.439750200","8.8.4.4","192.168.1.2","QUIC","82","Initial, SCID=f62cfd3432af60c7, PKN: 1, ACK"
"39","0.000000000","9.439750200","8.8.4.4","192.168.1.2","QUIC","1292","Initial, SCID=f62cfd3432af60c7, PKN: 2, ACK, PADDING"
"40","0.000000000","9.439750200","8.8.4.4","192.168.1.2","QUIC","1292","Initial, SCID=f62cfd3432af60c7, PKN: 3, CRYPTO, PADDING"
"41","0.000249200","9.439999400","8.8.4.4","192.168.1.2","QUIC","321","Protected Payload (KP0)"
"42","0.000000000","9.439999400","8.8.4.4","192.168.1.2","QUIC","67","Protected Payload (KP0)"
"43","0.000000000","9.439999400","8.8.4.4","192.168.1.2","QUIC","976","Protected Payload (KP0)"
"44","0.000000000","9.439999400","8.8.4.4","192.168.1.2","QUIC","550","Protected Payload (KP0)"
"45","0.000000000","9.439999400","8.8.4.4","192.168.1.2","QUIC","64","Protected Payload (KP0)"
"46","0.000949600","9.440949000","192.168.1.2","8.8.4.4","QUIC","120","Handshake, DCID=f62cfd3432af60c7"
"47","0.001036200","9.441985200","192.168.1.2","8.8.4.4","QUIC","73","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"48","0.000113800","9.442099000","192.168.1.2","8.8.4.4","QUIC","73","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"49","0.100859400","9.542958400","8.8.4.4","192.168.1.2","QUIC","162","Protected Payload (KP0)"
"50","0.000000000","9.542958400","8.8.4.4","192.168.1.2","QUIC","1292","Protected Payload (KP0)"
"51","0.000102000","9.543060400","8.8.4.4","192.168.1.2","QUIC","550","Protected Payload (KP0)"
"52","0.000399000","9.543459400","192.168.1.2","8.8.4.4","QUIC","80","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"53","0.001953000","9.545412400","192.168.1.2","35.186.224.24","QUIC","1292","Initial, DCID=1c36f9c0d96e30da, PKN: 1, CRYPTO, PING, PING, PING, CRYPTO, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"54","0.000137800","9.545550200","192.168.1.2","35.186.224.24","QUIC","1292","Initial, DCID=1c36f9c0d96e30da, PKN: 2, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, PING, PING, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING"
"55","0.000685000","9.546235200","192.168.1.2","151.101.131.42","QUIC","1292","Initial, DCID=2881d63de3720984, PKN: 1, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, PADDING, PING, PING, PADDING, PING, CRYPTO"
"56","0.000094300","9.546329500","192.168.1.2","151.101.131.42","QUIC","1292","Initial, DCID=2881d63de3720984, PKN: 2, PING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING"
"57","0.000767600","9.547097100","192.168.1.2","8.8.4.4","QUIC","267","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"58","0.000112000","9.547209100","192.168.1.2","8.8.4.4","QUIC","252","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"59","0.093651100","9.640860200","192.168.1.2","74.125.158.39","TCP","54","52022  >  443 [FIN, ACK] Seq=2 Ack=1 Win=255 Len=0"
"60","0.000776200","9.641636400","192.168.1.2","151.101.131.42","TCP","66","63311  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"61","0.003115400","9.644751800","8.8.4.4","192.168.1.2","QUIC","65","Protected Payload (KP0)"
"62","0.000000000","9.644751800","151.101.131.42","192.168.1.2","QUIC","1322","Initial, SCID=2e4928e2627d595d7d183326a71cb7a55a, PKN: 0, ACK, PADDING"
"63","0.000000000","9.644751800","35.186.224.24","192.168.1.2","QUIC","82","Initial, SCID=fc36f9c0d96e30da, PKN: 1, ACK"
"64","0.000000000","9.644751800","35.186.224.24","192.168.1.2","QUIC","1292","Initial, SCID=fc36f9c0d96e30da, PKN: 2, ACK, PADDING"
"65","0.000199700","9.644951500","151.101.131.42","192.168.1.2","QUIC","1322","Initial, SCID=2e4928e2627d595d7d183326a71cb7a55a, PKN: 1, ACK, CRYPTO, PADDING"
"66","0.000000000","9.644951500","151.101.131.42","192.168.1.2","QUIC","620","Protected Payload (KP0)"
"67","0.000000000","9.644951500","8.8.4.4","192.168.1.2","QUIC","69","Protected Payload (KP0)"
"68","0.000000000","9.644951500","8.8.4.4","192.168.1.2","QUIC","64","Protected Payload (KP0)"
"69","0.000000000","9.644951500","35.186.224.24","192.168.1.2","QUIC","1292","Protected Payload (KP0)"
"70","0.000000000","9.644951500","8.8.4.4","192.168.1.2","QUIC","582","Protected Payload (KP0)"
"71","0.000000000","9.644951500","8.8.4.4","192.168.1.2","QUIC","64","Protected Payload (KP0)"
"72","0.000000000","9.644951500","8.8.4.4","192.168.1.2","QUIC","550","Protected Payload (KP0)"
"73","0.000162100","9.645113600","192.168.1.2","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"74","0.000186800","9.645300400","192.168.1.2","8.8.4.4","QUIC","77","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"75","0.000080600","9.645381000","192.168.1.2","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"76","0.000099100","9.645480100","192.168.1.2","8.8.4.4","QUIC","77","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"77","0.000958700","9.646438800","192.168.1.2","35.186.224.24","TCP","66","51101  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"78","0.000674200","9.647113000","192.168.1.2","35.186.224.24","QUIC","1292","Handshake, DCID=fc36f9c0d96e30da"
"79","0.000517600","9.647630600","192.168.1.2","35.186.224.22","QUIC","1292","Initial, DCID=36a623518401b157, PKN: 1, PADDING, PING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO"
"80","0.000081600","9.647712200","192.168.1.2","35.186.224.22","QUIC","1292","Initial, DCID=36a623518401b157, PKN: 2, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, PADDING"
"81","0.000094900","9.647807100","192.168.1.2","151.101.131.42","QUIC","1292","Handshake, DCID=2e4928e2627d595d7d183326a71cb7a55a"
"82","0.000174000","9.647981100","192.168.1.2","35.186.224.24","QUIC","125","Handshake, DCID=fc36f9c0d96e30da"
"83","0.000119500","9.648100600","192.168.1.2","35.186.224.24","QUIC","112","Protected Payload (KP0), DCID=fc36f9c0d96e30da"
"84","0.000316500","9.648417100","192.168.1.2","35.186.224.24","QUIC","1288","Protected Payload (KP0), DCID=fc36f9c0d96e30da"
"85","0.000066900","9.648484000","192.168.1.2","35.186.224.24","QUIC","239","Protected Payload (KP0), DCID=fc36f9c0d96e30da"
"86","0.000661400","9.649145400","192.168.1.2","151.101.131.42","QUIC","140","Handshake, DCID=2e4928e2627d595d7d183326a71cb7a55a"
